title,authors,venue,year,citations,ranking
Speedl-a declarative event-based language for cloud scaling definition,"R Zabolotnyi, P Leitner, S Schulte, S Dustdar",University of Zurich,2015.0,8,
WPress: Benchmarking Infrastructure-as-a-Service cloud computing systems for on-line transaction processing applications,"AH Borhani, P Leitner, BS Lee, X Li, T Hung",IEEE,2014.0,8,A*
"Decisions, Models, and Monitoring--A Lifecycle Model for the Evolution of Service-Based Systems","C Inzinger, W Hummer, I Lytra, P Leitner, H Tran, U Zdun, S Dustdar",2013 17th IEEE International Enterprise Distributed Object Computing …,2013.0,8,B
The dark side of SOA testing: Towards testing contemporary SOAs based on criticality metrics,"P Leitner, S Schulte, S Dustdar, I Pill, M Schulz, F Wotawa",2013 5th International Workshop on Principles of Engineering Service …,2013.0,8,
Transpiling applications into optimized serverless orchestrations,"J Scheuner, P Leitner",2019 IEEE 4th International Workshops on Foundations and Applications of …,2019.0,7,
Cachematic-automatic invalidation in application-level caching systems,"V Holmqvist, J Nilsfors, P Leitner",Proceedings of the 2019 ACM/SPEC International Conference on Performance …,2019.0,7,
Cost-based prevention of violations of service level agreements in composed services using self-adaptation,"P Leitner, S Dustdar, B Wetzstein, F Leymann",2012 First International Workshop on European Software Services and Systems …,2012.0,7,
Stepwise and asynchronous runtime optimization of web service compositions,"P Leitner, W Hummer, B Satzger, S Dustdar","International Conference on Web Information Systems Engineering, 290-297",2011.0,7,B
"Advances in Service-Oriented and Cloud Computing: Workshops of ESOCC 2015, Taormina, Italy, September 15-17, 2015, Revised Selected Papers","A Celesti, P Leitner",Springer,2016.0,6,
Distributed continuous queries over web service event streams,"W Hummer, B Satzger, P Leitner, C Inzinger, S Dustdar",2011 7th International Conference on Next Generation Web Services Practices …,2011.0,6,
An empirical analysis of microservices systems using consumer-driven contract testing,"HM Ayas, H Fischer, P Leitner, FGDO Neto",2022 48th Euromicro Conference on Software Engineering and Advanced …,2022.0,5,B
Using benchmarking bots for continuous performance assessment,"F Markusse, P Leitner, A Serebrenik","IEEE Software 39 (5), 50-55",2022.0,5,
Report from GI-Dagstuhl Seminar 16394: Software Performance Engineering in the DevOps World,"A van Hoorn, P Jamshidi, P Leitner, I Weber",arXiv preprint arXiv:1709.08951,2017.0,5,
Temperf: Temporal correlation between performance metrics and source code,"J Cito, G Mazlami, P Leitner","Proceedings of the 2Nd International Workshop on Quality-Aware DevOps, 46-47",2016.0,5,
Dynamic program code distribution in infrastructure-as-a-service clouds,"R Zabolotnyi, P Leitner, S Dustdar",2013 5th International Workshop on Principles of Engineering Service …,2013.0,5,
Identifying incompatible service implementations using pooled decision trees,"C Inzinger, W Hummer, B Satzger, P Leitner, S Dustdar","Proceedings of the 28th Annual ACM Symposium on Applied Computing, 485-492",2013.0,5,
Towards identifying root causes of faults in service-based applications,"C Inzinger, W Hummer, B Satzger, P Leitner, S Dustdar","2012 IEEE 31st Symposium on Reliable Distributed Systems, 404-405",2012.0,5,
SEPL—a domain-specific language and execution environment for protocols of stateful Web services,"W Hummer, P Leitner, S Dustdar","Distributed and Parallel Databases 29 (4), 277-307",2011.0,5,
A unified active learning framework for annotating graph data for regression tasks,"P Samoaa, L Aronsson, A Longa, P Leitner, MH Chehreghani","Engineering Applications of Artificial Intelligence 138, 109383",2024.0,4,
From Human-to-Human to Human-to-Bot Conversations in Software Engineering,"R Khojah, FG de Oliveira Neto, P Leitner",Proceedings of the 1st ACM International Conference on AI-Powered Software …,2024.0,4,
Batch mode deep active learning for regression on graph data,"P Samoaa, L Aronsson, P Leitner, MH Chehreghani","2023 IEEE International Conference on Big Data (BigData), 5904-5913",2023.0,4,
Performance benchmarking of infrastructure-as-a-service (IaaS) clouds with cloud workbench (Tutorial),"J Scheuner, P Leitner",2019 IEEE 4th International Workshops on Foundations and Applications of …,2019.0,4,
(h| g) opper: Performance History Mining and Analysis,"C Laaber, P Leitner",Proceedings of the 8th ACM/SPEC on International Conference on Performance …,2017.0,4,
All the services large and micro: Revisiting industrial practices in services computing,"G Schermann, J Cito, P Leitner",PeerJ PrePrints,2015.0,4,
On preventing violations of service level agreements in composed services using self-adaptation,P Leitner,Technische Universität Wien,2011.0,4,
Service Research Challenges and Solutions for the Future Internet,"K Pohl, M Parkin, A Metzger",Springer Berlin Heidelberg,2010.0,4,
Event Processing in Web Service Runtime Environments,"A Michlmayr, P Leitner, F Rosenberg, S Dustdar","Principles and Applications of Distributed Event-Based Systems, 284-306",2010.0,4,
A Mediator-Based Approach to Resolving Interface Heterogeneity of Web Services,"P Leitner, F Rosenberg, A Michlmayr, A Huber, S Dustdar","Emerging Web Services Technology Volume III, 55-74",2008.0,4,
Securing the Madeira network management system,"R Marín, J Vivero, P Leitner, A Neppach, M Zach, D Ortega, B Baesjou, ...","2007 15th International Conference on Software, Telecommunications and …",2007.0,4,
Fault Management based on peer-to-peer paradigms,"M Leitner, P Leitner, M Zach, S Collins, C Fahy",Proceedings of the 10th IFIP/IEEE International Symposium on Integrated …,2007.0,4,
CAM05-2: A Distributed Policy Based Solution in a Fault Management Scenario,"R Marin, J Vivero, H Nguyen, J Serrat, P Leitner, M Zach, C Fahy","IEEE Globecom 2006, 1-5",2006.0,4,
Towards Continuous Performance Assessment of Java Applications With PerfBot,"F Markusse, A Serebrenik, P Leitner",2023 IEEE/ACM 5th International Workshop on Bots in Software Engineering …,2023.0,3,
Topology-aware continuous experimentation in microservice-based applications,"G Schermann, F Oliveira, E Wittern, P Leitner","International Conference on Service-Oriented Computing, 19-35",2020.0,3,A
An Experimental Study of Real-Life LLM-Proposed Performance Improvements,"L Yi, G Gay, P Leitner",arXiv preprint arXiv:2510.15494,2025.0,2,
"The roles, responsibilities, and skills of engineers in the era of microservices-based architectures","H Michael Ayas, R Hebig, P Leitner",Proceedings of the 2024 IEEE/ACM 17th International Conference on …,2024.0,2,
A monitoring data set for evaluating QoS-aware service-based systems,"P Leitner, W Hummer, S Dustdar",2012 4th International Workshop on Principles of Engineering Service …,2012.0,2,
Modelling behaviour and distribution for the management of next generation networks,"C Fahy, MP de Leon, S van der Meer, R Marin, J Vivero, J Serrat, ...","Advanced Autonomic Networking and Communication, 43-62",2008.0,2,
Analysing the Behaviour of Tree-Based Neural Networks in Regression Tasks,"P Samoaa, M Farahani, A Longa, P Leitner, MH Chehreghani",arXiv preprint arXiv:2406.11437,2024.0,1,
The Impact of Compiler Warnings on Code Quality in C++ Projects,"A Johansson, C Holmberg, F Gomes De Oliveira Neto, P Leitner",Proceedings of the 32nd IEEE/ACM International Conference on Program …,2024.0,1,
Vergleich und Kombination von Techniken des Predictive Business Process Monitoring,"A Metzger, P Leitner, D Ivanovic, E Schmieders, R Franklin, M Carro, ...","Software Engineering 2017, 79",2017.0,1,
Bifrost,"G Schermann, D Schöni, P Leitner, HC Gall",Proceedings of the 17th International Middleware Conference,2016.0,1,
Building Elastic Java Application Services Seamlessly in the Cloud: A Middleware Framework,"R Zabolotnyi, P Leitner, S Dustdar","Web-Based Services: Concepts, Methodologies, Tools, and Applications, 709-732",2016.0,1,
"Intent, tests, and release dependencies: Pragmatic recipes for source code integration","M Brandtner, P Leitner, HC Gall",2015 IEEE 15th International Working Conference on Source Code Analysis and …,2015.0,1,C
Mining lifecycle event logs for enhancing service-based applications,"S Dustdar, P Leitner, FM Nardini, F Silvestri, G Tolomei","Data Mining: Concepts, Methodologies, Tools, and Applications, 658-668",2013.0,1,
Identifying incompatible implementations of industry standard service interfaces for dependable service-based applications,"C Inzinger, W Hummer, B Satzger, P Leitner, S Dustdar","Technical Report TUV-1841-2012-1, Vienna University of Technology",2012.0,1,
